smiles,Atomization_Energy_eV
*CC(*)C,-5.14
*CC(*)F,-5.18
*CC(*)(F)F,-5.21
*C(F)C(*)(F)F,-5.11
*CCC(F)(F)C(*)(F)F,-5.21
*CO*,-5.32
*CCO*,-5.21
*CC(O*)C(F)(F)F,-5.24
*CCCO*,-5.2
*Oc1ccc(Cc2ccc(*)cc2)cc1,-6.18
*CCCCCOCO*,-5.2
*CCOC(=O)NCCOCCOCCNC(=O)O*,-5.52
*c1ccc(-c2nc3cc4nc(*)oc4cc3o2)cc1,-6.82
*CCCCCS*,-5.03
*CCOC(=O)CCCCC(=O)O*,-5.59
*CCOC(=O)CCCCCCC(=O)O*,-5.5
*CCOC(=O)c1ccc(C(=O)O*)cc1,-6.18
*CCCCOC(=O)c1ccc(C(=O)O*)cc1,-5.97
*CC(=O)O*,-6.0
*CCCCCC(=O)O*,-5.44
*CCC(=O)O*,-5.73
*Oc1ccc(CC(*)=O)cc1,-6.21
*Cc1ccc(C(=O)O*)cc1,-6.22
*CCC(=O)N*,-5.69
*CCCCCCC(=O)N*,-5.39
*CC(=O)N*,-5.91
*Nc1cccc(C(*)=O)c1,-6.41
*Cc1ccc(C(=O)N*)cc1,-6.17
*CCCCCOC(=O)Nc1ccc(C)c(NC(=O)O*)c1,-5.79
*CCCCCCN1C(=O)c2ccc(C(=O)c3ccc4c(c3)C(=O)N(*)C4=O)cc2C1=O,-6.25
*OC(=O)c1ccc(C(*)=O)cc1,-6.57
*CCCCCOC(=O)O*,-5.46
*Oc1ccc(OC(*)=O)cc1,-6.41
*CCCN*,-5.18
*Oc1ccc(C(=O)c2ccc(*)cc2)cc1,-6.4
*c1ccc(*)cc1,-6.39
*CCc1ccc(-c2ccc(*)cc2)cc1,-6.09
*OC1C(CO)OC(*)C(O)C1O,-5.48
*Cc1ccc(CO*)cc1,-5.89
*CCOCCOC(=O)O*,-5.52
*CCC(O*)(C(F)(F)F)C(F)(F)F,-5.18
*c1ccc(*)s1,-6.18
*Oc1ccc(-c2ccc(C(*)=O)cc2)cc1,-6.44
*Nc1ccc(*)cc1,-6.21
*c1cccc(*)n1,-6.6
*CC(CC(CC(CC(*)c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1,-5.9
*c1ccc(-c2ccc(*)s2)s1,-6.18
*c1ccc2oc(-c3ccc4nc(*)oc4c3)nc2c1,-6.81
