smiles,CH4_Permeability_Barrer
*CC(*)(F)F,0.02
*CC(*)(C)C(=O)OCC,0.346999996
*CC(*)(C)C(=O)OCCOCC,1.229999999
*CC(C)O*,4.09
*Sc1ccc(*)cc1,0.0523
*C*,5.269999997
*CC(*)CC(C)C,19.79999999
*CC(*)c1ccc(F)cc1,1.059999999
*CC(*)c1ccncc1,0.140000001
*CC(*)C(=O)OCC,14.89999999
*CC(*)C(=O)OCCCCCCCCCCCCCC,65.10000006
*CC(*)(C)C(=O)OC,0.00467
*CC(*)Cl,0.0275
*CC(CCl)O*,0.657000001
*Oc1ccc(*)cc1,51.90000002
*Oc1c(C)cc(*)cc1C,4.09
*Oc1c(-c2ccccc2)cc(*)cc1-c1ccccc1,2.269999999
*OC(C)C(*)=O,1.0
*c1ccc(Oc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)cc1,0.0473
*c1ccc(Cc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)cc1,0.075800001
*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(N4C(=O)c5ccc(*)cc5C4=O)cc3)cc1)C2=O,0.0109
*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(C(c3ccc(N4C(=O)c5ccc(*)cc5C4=O)cc3)(C(F)(F)F)C(F)(F)F)cc1)C2=O,0.191000001
*Oc1ccc(C2(c3ccc(OC(*)=O)cc3)c3ccccc3-c3ccccc32)cc1,0.580999997
*Oc1ccc(C(=C(Cl)Cl)c2ccc(OC(*)=O)cc2)cc1,0.232999999
*C=CC1CC(*)C(C(F)(F)F)(C(F)(F)F)C1(F)F,9.540000007
*C(C)=C(*)SCC,20.00000002
*C(F)(F)C(F)(F)C(F)(F)C(*)(F)C(F)(F)F,10.0
*C(C)=C(*)CCC,21.00000001
*c1ccc(-c2nnc(*)o2)cc1,3.580000003
*Nc1ccc(C2(c3ccc(NC(=O)c4ccc(C(*)=O)cc4)cc3)c3ccccc3-c3ccccc32)cc1,0.548000002
*c1ccc(Oc2cccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)c2)cc1,0.0258
*c1c(C)cc(C)c(N2C(=O)c3ccc(-c4ccc5c(c4)C(=O)N(*)C5=O)cc3C2=O)c1C,8.040000005
*c1cccc(Oc2cccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)c2)c1,0.008
*C=CC1CC(*)c2c1c(O)n(-c1cc(C(F)(F)F)cc(C(F)(F)F)c1)c2O,4.28
*c1ccc(*)n1C,0.22
*c1cccc(-c2nc3cc(-c4ccc5[nH]c(*)nc5c4)ccc3[nH]2)c1,0.0018
*CC(*)c1ccccc1,0.785000006
*CC(*)c1ccc(C)cc1,2.200000001
*/C(=C(/*)c1ccc([Si](C(C)C)(C(C)C)C(C)C)cc1)c1ccccc1,240.0000002
*/C(=C(/*)c1ccc([Si](C)(C)C)cc1)c1ccc(-c2ccc(C(C)(C)C)cc2)cc1,729.9999998
*/C(=C(/*)c1ccc([Si](C)(C)C)cc1)c1ccccc1,1500.0
*/C(=C(/*)c1ccc([Si](c2ccccc2)(c2ccccc2)c2ccccc2)cc1)c1ccccc1,5.580000001
*/C(=C(/*)c1ccc2c(c1)-c1cc([Si](C)(C)C)ccc1C2(C)C)c1ccccc1,19000.0
*/C(=C(/*)c1ccc2c(c1)-c1ccccc1C2(C)C)c1ccccc1,940.0000009
*/C(=C(/*)c1ccc2c(c1)-c1ccccc1C21CC1)c1ccc([Si](C)(C)C)cc1,499.9999996
*/C(=C(/*)c1ccc2c(c1)-c1ccccc1C21CC1)c1ccccc1,1559.999999
*/C(=C(/*)c1ccc2c(c1)C(C)(C)C(C)(C)C2(C)C)c1ccccc1,24200.0
*/C(=C(/*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1cc(F)cc(F)c1,29100.0
*/C(=C(/*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(Br)cc1,22399.99998
*/C(=C(/*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(C)cc1,10100.00001
*/C(=C(/*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(Cl)cc1,22699.99999
*/C(=C(/*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(F)c(F)c1,34999.99997
*/C(=C(/*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(F)cc1,34300.0
*/C(=C(/*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc([Si](C)(C)C)cc1,470.0000001
*/C(=C(/*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccccc1,27200.0
*/C(=C(/*)c1ccc2c(c1)C(C)(C)CCC2(C)C)c1ccccc1,6600.000007
*/C(=C(/*)c1ccc2c(c1)CCC2)c1ccc([Si](C)(C)C)cc1,59.99999995
