smiles,Crystallization_Temperature_K
CC(C([*])=O)O[*],389.1466667
COC(C([*])(C[*])C)=O,486.15
[*]OCCCCCC([*])=O,407.8166667
[*]CC(C)[*],393.0916406
[*]CC([*])O,459.0833721
[*]C(F)(C[*])F,414.0192823
CC(C([*])=O)O[*],397.494055
[*][Si](C)(O[*])C,477.05
[*]C(C[*])C1=CC=CC=C1,406.5722222
[*]C1=CC=C(C(OCCOC([*])=O)=O)C=C1,458.108254
[*]CCO[*],390.65
[*]CC(C(NC(C)C)=O)[*],393.15
[*]C(C[*])C1=CC=CC=C1,457.75
[*]CC[*],391.2037037
[*]CCO[*],407.3666667
[*]C(C[*])C1=CC=CC=C1,396.73
CC(C)(C1=CC=C(OC([*])=O)C=C1)C2=CC=C(O[*])C=C2,467.0653846
[*]CC(Cl)[*],442.4833333
[*]CC(C)[*],398.2913793
[*]CC([*])(C=C)C,405.15
FC(F)(C(F)([*])F)[*],536.2928571
[*]OCCOC(CCC([*])=O)=O,481.47
[*]NCCCCCC([*])=O,461.306
[*]CC([*])C#N,540.85
CC(CC([*])=O)O[*],393.4936364
N[C@@H]1[C@@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],546.15
O[C@@H]1[C@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],391.0166667
[*]CC(N1CCCC1=O)[*],493.4
[*]C1=C(CCCCCC)C=C([*])S1,456.2038462
[*]CC([*])C(O)=O,420.15
[*]CC[*],390.5
O=C1N([*])C(C2=C1C=C(C3=O)C(C(N3C4=CC=C(OC5=CC=C([*])C=C5)C=C4)=O)=C2)=O,567.65
[*]OCCCCOC(C1=CC=C(C([*])=O)C=C1)=O,466.7602326
[*]NCCCCCC([*])=O,458.275
[*]CCN[*],501.15
[*]NC1=CC=C([*])C=C1,513.15
[*]OCCCCOC(CCC([*])=O)=O,385.6441176
[*]C1=CC=C(C(C)(C2=CC=C(OCC(C[*])O)C=C2)C)C=C1,429.345
[*]C1=CC=C(S[*])C=C1,494.392
[*]CC[*],378.284
O=C(O[*])C1=CC(C=CC(C(OCC[*])=O)=C2)=C2C=C1,491.7911765
[*]C1=CC(C)=C(O[*])C(C)=C1,638.15
[*]CC(C1=CC=C(S(O)(=O)=O)C=C1)[*],391.15
[*]CC(C)[*],399.5008182
[*]CC[*],389.65
[*]C(C1=CC=C(C(OCCCO[*])=O)C=C1)=O,462.42125
COC(C([*])(C[*])C)=O,553.15
[*]C1=C2C(OCCO2)=C([*])S1,448.15
CC(C)(C1=CC=C(OC([*])=O)C=C1)C2=CC=C(O[*])C=C2,595.6166667
[*]CC([*])OC(C)=O,418.15
[*]CC(C(NC(C)C)=O)[*],393.15
[*]CC(C(OCCCC)=O)[*],406.05
[*]CC([*])(C=C)C,397.15
[*]C1=CC=C(C(OCCOC([*])=O)=O)C=C1,444.775
[*]C/C=C/C[*],434.025
[*]OCCCCCC([*])=O,473.15
CC(C([*])=O)O[*],399.422
[*]NCCCCCC([*])=O,461.825
[*]NCCCCCCCCCCCC([*])=O,422.8154545
[*]CC(C(N)=O)[*],436.15
CC(C([*])=O)O[*],391.9
[*]NCCCCCC([*])=O,443.8666667
[*]C1=CC=C(C(OCCOC([*])=O)=O)C=C1,456.4833333
[*]CC[*],382.2482609
COC(C([*])(C[*])C)=O,462.15
[*]C/C=C/C[*],384.15
[*]C([H])(O[*])[H],418.25
[*]C(C[*])C1=CC=CC=C1,513.67
[*]NCCCCCC([*])=O,404.15
[*]CC(C(N)=O)[*],618.15
[*]NCCCCCC([*])=O,452.7264706
[*]CC(C(NC(C)C)=O)[*],373.15
[*]C1=CC=C(C(C)(C2=CC=C(OCC(C[*])O)C=C2)C)C=C1,428.15
[*]C1=CC=C(C(OCCOC([*])=O)=O)C=C1,416.65
[*]CC(O)[*],457.8642857
[*]NCCCCCCCCCCC([*])=O,443.65
[*]C(CC(O[*])C)=O,392.4833333
[*]CC(C)[*],407.9944444
[*]C(CO[*])=O,456.4730769
[*]CC(C)(C(OCC)=O)[*],387.15
FC(F)(C(F)([*])F)[*],396.4
[*]OC(CC([*])=O)C,390.8166667
[*]C(C)C(O[*])=O,392.9
[*]CC(OC)[*],409.15
[*]OC(C([*])=O)C,384.15
[*]CC(C(O)=O)[*],500.35
[*]OCC(C)O[*],388.65
[*]OC1=CC=C(C(C2=CC=C(C(C3=CC=C([*])C=C3)=O)C=C2)=O)C=C1,533.15
[*]CC(C)(C(OCC1CO1)=O)[*],418.15
[*]C(C1=CC=C(C(OCCO[*])=O)C=C1)=O,469.85
[*]C2=NC1=CC(N=C(C4=CC=C([*])C=C4)O3)=C3C=C1O2,375.35
[*]C(C)C[*],398.2913793
[*]OC(C1=CC=C(C(OCC[*])=O)O1)=O,436.4543478
