smiles,Density
[*]CC[*],0.94
CC([*])C[*],0.9
[*]CC([*])C1=CC=CC=C1,1.05
CC([*])(C(OC)=O)C[*],1.17
[*]C(Cl)C[*],1.35
O=C(OCC[*])C1=CC=C(C(O[*])=O)C=C1,1.38
FC(F)([*])C(F)([*])F,2.1
[*]NCCCCCC([*])=O,1.12
[*]CC([*])C1=CC=CC=C1,0.94
COC([*])C[*],1.37
[*]OC1=CC=C(C(C)(C2=CC=C(OC3=CC=C(S(=O)(C4=CC=C([*])C=C4)=O)C=C3)C=C2)C)C=C1,1.24
[*]C(Cl)(C[*])Cl,1.6
[*]C(F)(C[*])F,1.7
[*]C1=CC=C(S[*])C=C1,1.35
[*]C1=CC(C)=C(O[*])C(C)=C1,1.04
[*]C([H])(O[*])[H],1.41
[*]CC(CC(C)C)[*],0.835
[*]OC(C([*])=O)C,1.23
[*]N1C(C2=CC(C(N(C3=CC=C([*])C=C3)C4=O)=O)=C4C=C2C1=O)=O,1.31
[*]OC(CC([*])=O)C,1.3
[*]C(CO[*])=O,1.4
FC(F)([*])C(F)([*])F,2.1
[*]C1=CC=C(S(=O)(C2=CC=C(O[*])C=C2)=O)C=C1,1.37
[*]OC1=CC=C(OC2=CC=C(C(C3=CC=C([*])C=C3)=O)C=C2)C=C1,1.26
[*]OCCCCCC([*])=O,1.14
[*]C(F)(C(Cl)([*])F)F,2.1
[*]CCN[*],1.27
O=C(OCCCC[*])C1=CC=C(C(O[*])=O)C=C1,1.3
[*]CC([*])C#N,1.1
