smiles,Elongation_at_Break_percentage
CC(C([*])=O)O[*],19.99913616
COC(C([*])(C[*])C)=O,57.56869565
[*]OCCCCCC([*])=O,387.82
[*]CC(C)[*],136.0394578
[*]CC([*])O,156.9150872
[*]C(F)(C[*])F,70.28669903
CC(C([*])=O)O[*],31.68030488
[*][Si](C)(O[*])C,221.8134375
[*]C(C[*])C1=CC=CC=C1,28.4137037
[*]C1=CC=C(C(OCCOC([*])=O)=O)C=C1,101.9562745
[*]CCO[*],141.3910345
[*]CC(C(NC(C)C)=O)[*],134.3111111
[*]C(C[*])C1=CC=CC=C1,37.61571429
[*]CC[*],233.4104082
[*]CCO[*],107.6797727
[*]C(C[*])C1=CC=CC=C1,359.7359459
CC(C)(C1=CC=C(OC([*])=O)C=C1)C2=CC=C(O[*])C=C2,47.11032258
[*]CC(Cl)[*],217.5994667
[*]CC(C)[*],49.83948718
[*]CC([*])(C=C)C,15.28428814
FC(F)(C(F)([*])F)[*],138.5804762
[*]OCCOC(CCC([*])=O)=O,40.86571429
[*]NCCCCCC([*])=O,95.32325581
[*]CC([*])C#N,25.15680851
[*]CC(C(NC(C)C)=O)[*],364.7333333
CC(CC([*])=O)O[*],7.871818182
N[C@@H]1[C@@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],25.17533333
[*]C1=CC=C(C(C)(C2=CC=C(OCC(C[*])O)C=C2)C)C=C1,5.173636364
O[C@@H]1[C@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],45.47636364
[*]CC(N1CCCC1=O)[*],27.47
[*]C1=C(CCCCCC)C=C([*])S1,175.0
[*]CC([*])C(O)=O,382.21875
[*]CC[*],437.716081
O=C1N([*])C(C2=C1C=C(C3=O)C(C(N3C4=CC=C(OC5=CC=C([*])C=C5)C=C4)=O)=C2)=O,10.62222892
[*]OCCCCOC(C1=CC=C(C([*])=O)C=C1)=O,58.98537037
[*]NCCCCCC([*])=O,74.31913043
[*]CCN[*],20.77294118
[*]NC1=CC=C([*])C=C1,81.85470588
[*]OCCCCOC(CCC([*])=O)=O,190.5156716
[*]C1=CC=C(C(C)(C2=CC=C(OCC(C[*])O)C=C2)C)C=C1,4.448888889
[*]C1=CC=C(S[*])C=C1,10.1225
[*]CC[*],372.1413043
