smiles,Td_K
CC(C([*])=O)O[*],614.5552932
COC(C([*])(C[*])C)=O,596.0484058
[*]OCCCCCC([*])=O,627.9720588
[*]CC(C)[*],668.9719355
[*]CC([*])O,560.1714583
[*]C(F)(C[*])F,692.2809524
CC(C([*])=O)O[*],559.4827586
[*][Si](C)(O[*])C,658.3881159
[*]C(C[*])C1=CC=CC=C1,657.1369916
[*]C1=CC=C(C(OCCOC([*])=O)=O)C=C1,647.7791837
[*]CCO[*],584.3322785
[*]CC(C(NC(C)C)=O)[*],617.3063636
[*]C(C[*])C1=CC=CC=C1,627.6646939
[*]CC[*],665.4068182
[*]CCO[*],609.6155844
[*]C(C[*])C1=CC=CC=C1,606.3833333
CC(C)(C1=CC=C(OC([*])=O)C=C1)C2=CC=C(O[*])C=C2,713.6141791
[*]CC(Cl)[*],554.9093976
[*]CC(C)[*],577.6092593
[*]CC([*])(C=C)C,779.3637594
FC(F)(C(F)([*])F)[*],725.480303
[*]OCCOC(CCC([*])=O)=O,684.5137255
[*]NCCCCCC([*])=O,693.1585106
[*]CC([*])C#N,576.34125
[*]CC(C(NC(C)C)=O)[*],658.8166667
CC(CC([*])=O)O[*],534.539011
N[C@@H]1[C@@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],561.2761511
[*]C1=CC=C(C(C)(C2=CC=C(OCC(C[*])O)C=C2)C)C=C1,619.3684615
O[C@@H]1[C@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],574.5608247
[*]CC(N1CCCC1=O)[*],659.1060714
[*]C1=C(CCCCCC)C=C([*])S1,638.8882353
[*]CC([*])C(O)=O,592.948
[*]CC[*],712.0138596
O=C1N([*])C(C2=C1C=C(C3=O)C(C(N3C4=CC=C(OC5=CC=C([*])C=C5)C=C4)=O)=C2)=O,743.3183871
[*]OCCCCOC(C1=CC=C(C([*])=O)C=C1)=O,624.4442857
[*]NCCCCCC([*])=O,613.8209091
[*]CCN[*],655.3469388
[*]NC1=CC=C([*])C=C1,647.5332634
[*]OCCCCOC(CCC([*])=O)=O,634.0678571
[*]C1=CC=C(C(C)(C2=CC=C(OCC(C[*])O)C=C2)C)C=C1,643.7611111
[*]C1=CC=C(S[*])C=C1,685.280303
[*]CC[*],686.2020513
O=C(O[*])C1=CC(C=CC(C(OCC[*])=O)=C2)=C2C=C1,757.3852941
[*]C1=CC(C)=C(O[*])C(C)=C1,666.765
[*]CC(C1=CC=C(S(O)(=O)=O)C=C1)[*],607.275
[*]CC(C)[*],613.5744444
[*]CC[*],722.9833333
[*]C1=CC=C([*])N1,590.2752381
[*]C(C1=CC=C(C(OCCCO[*])=O)C=C1)=O,632.7409091
COC(C([*])(C[*])C)=O,602.86875
[*]CC(C(NC(C)C)=O)[*],633.15
[*]C1=C2C(OCCO2)=C([*])S1,613.7958333
CC(C)(C1=CC=C(OC([*])=O)C=C1)C2=CC=C(O[*])C=C2,547.93125
O[C@@H]1[C@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],613.5121053
OC1C([*])C(CO)OC(O[*])C1O,572.8324138
[*]CC(C)(C(OCCN(C)C)=O)[*],540.425
N[C@@H]1[C@@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],546.1640476
[*]CC([*])OC(C)=O,614.1236842
[*]CC(C(NC(C)C)=O)[*],617.3063636
[*]OC1=CC=C(C(C)(C2=CC=C(OC3=CC=C(S(=O)(C4=CC=C([*])C=C4)=O)C=C3)C=C2)C)C=C1,772.065
[*]CC(C(OCCCC)=O)[*],600.91
O=C1N([*])C(C2=C1C=C(C3=O)C(C(N3C4=CC=C(OC5=CC=C([*])C=C5)C=C4)=O)=C2)=O,735.5878099
[*]CC([*])(C=C)C,647.0166667
[*]C1=CC=C(C(OCCOC([*])=O)=O)C=C1,586.3158491
[*]C/C=C/C[*],621.1404762
[*][Si](C)(O[*])C,676.7214286
[*]OCCCCCC([*])=O,604.025
O[C@@H]1[C@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],578.2117647
[*]OCCCOC([*])=O,544.3227273
CC(C([*])=O)O[*],483.8642857
[*]CC(C(NC(C)C)=O)[*],633.15
[*]NCCCCCC([*])=O,665.3428571
[*]NCCCCCCCCCCCC([*])=O,634.8485714
[*]CC(C(N)=O)[*],630.594
