smiles,Youngs_Modulus_MPa
CC(C([*])=O)O[*],2089.630879
COC(C([*])(C[*])C)=O,2229.584071
[*]OCCCCCC([*])=O,153.205055
[*]CC(C)[*],1360.85935
[*]CC([*])O,1028.982777
[*]C(F)(C[*])F,836.2191619
CC(C([*])=O)O[*],1667.104159
[*][Si](C)(O[*])C,1.771153117
[*]C(C[*])C1=CC=CC=C1,1578.346265
[*]C1=CC=C(C(OCCOC([*])=O)=O)C=C1,2711.531016
[*]CCO[*],169.8333158
[*]CC(C(NC(C)C)=O)[*],0.189357927
[*]C(C[*])C1=CC=CC=C1,2040.786932
[*]CC[*],1482.481308
[*]CCO[*],17.82309728
[*]C(C[*])C1=CC=CC=C1,9997.559434
CC(C)(C1=CC=C(OC([*])=O)C=C1)C2=CC=C(O[*])C=C2,1991.271091
[*]CC(Cl)[*],612.8673684
[*]CC(C)[*],1635.936953
FC(F)(C(F)([*])F)[*],1089.694545
[*]OCCOC(CCC([*])=O)=O,1261.16
[*]NCCCCCC([*])=O,1643.498022
[*]CC([*])C#N,6110.394533
[*]CC(C(NC(C)C)=O)[*],3.950226667
CC(CC([*])=O)O[*],2066.488732
N[C@@H]1[C@@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],350.3948276
[*]C1=CC=C(C(C)(C2=CC=C(OCC(C[*])O)C=C2)C)C=C1,2470.653202
O[C@@H]1[C@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],51216.99916
[*]CC(N1CCCC1=O)[*],256.230625
[*]C1=C(CCCCCC)C=C([*])S1,393.5204082
[*]CC([*])C(O)=O,389.0870556
[*]CC[*],974.9630435
O=C1N([*])C(C2=C1C=C(C3=O)C(C(N3C4=CC=C(OC5=CC=C([*])C=C5)C=C4)=O)=C2)=O,2454.84443
[*]OCCCCOC(C1=CC=C(C([*])=O)C=C1)=O,1930.170833
[*]NCCCCCC([*])=O,172.6691837
[*]CCN[*],1130.0712
[*]NC1=CC=C([*])C=C1,353.4069762
[*]OCCCCOC(CCC([*])=O)=O,547.6591837
[*]C1=CC=C(C(C)(C2=CC=C(OCC(C[*])O)C=C2)C)C=C1,2117.713448
[*]C1=CC=C(S[*])C=C1,1815.8
[*]CC[*],195.8447458
O=C(O[*])C1=CC(C=CC(C(OCC[*])=O)=C2)=C2C=C1,4417.921429
[*]C1=CC(C)=C(O[*])C(C)=C1,1192.275
[*]CC(C1=CC=C(S(O)(=O)=O)C=C1)[*],614.1428846
[*]CC(C)[*],1341.043478
[*]CC[*],15163.35526
[*]C1=CC=C([*])N1,423.2231579
[*]C(C1=CC=C(C(OCCCO[*])=O)C=C1)=O,2307.392857
COC(C([*])(C[*])C)=O,3827.619048
[*]CC(C(NC(C)C)=O)[*],0.24828
[*]C1=C2C(OCCO2)=C([*])S1,1509.425926
CC(C)(C1=CC=C(OC([*])=O)C=C1)C2=CC=C(O[*])C=C2,2285.065854
O[C@@H]1[C@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],4211.036667
OC1C([*])C(CO)OC(O[*])C1O,371.8271429
[*]CC(C)(C(OCCN(C)C)=O)[*],0.49392
N[C@@H]1[C@@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],478.098
[*]CC([*])OC(C)=O,400.2130769
[*]CC(C(NC(C)C)=O)[*],0.189357927
[*]OC1=CC=C(C(C)(C2=CC=C(OC3=CC=C(S(=O)(C4=CC=C([*])C=C4)=O)C=C3)C=C2)C)C=C1,702.0315
[*]CC(C(OCCCC)=O)[*],100.125
O=C1N([*])C(C2=C1C=C(C3=O)C(C(N3C4=CC=C(OC5=CC=C([*])C=C5)C=C4)=O)=C2)=O,2506.923077
[*]CC([*])(C=C)C,16.13642857
[*]C1=CC=C(C(OCCOC([*])=O)=O)C=C1,2769.215465
[*]C/C=C/C[*],608.6733333
[*][Si](C)(O[*])C,1.631897255
[*]OCCCCCC([*])=O,267.3988
O[C@@H]1[C@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],8528.256604
[*]OCCCOC([*])=O,5.83875
CC(C([*])=O)O[*],1306.628571
[*]CC(C(NC(C)C)=O)[*],0.24828
[*]NCCCCCC([*])=O,2018.713636
[*]NCCCCCCCCCCCC([*])=O,1130.415385
[*]CC(C(N)=O)[*],0.108930769
[*]CC(C)(C(OCCCC)=O)[*],456.5758333
[*]CC(C(N)=O)[*],0.194604538
CC(C([*])=O)O[*],2720.130476
[*]NCCCCCC([*])=O,2445.3
[*]CC([*])O,2304.357672
[*]C1=CC=C(C(OCCOC([*])=O)=O)C=C1,6524.1
[*]CC[*],179.6153846
[*]OC1=CC=C(C(C)(C2=CC=C(OC3=CC=C(S(=O)(C4=CC=C([*])C=C4)=O)C=C3)C=C2)C)C=C1,702.0315
