smiles,Compressive_Strength_MPa
CC(C([*])=O)O[*],21.01862712
COC(C([*])(C[*])C)=O,65.52015625
[*]OCCCCCC([*])=O,22.76571429
[*]CC(C)[*],34.00294118
[*]CC([*])O,1.490645205
[*]C(F)(C[*])F,12.36
CC(C([*])=O)O[*],13.71604167
[*][Si](C)(O[*])C,0.732777242
[*]C(C[*])C1=CC=CC=C1,423.1727273
[*]C1=CC=C(C(OCCOC([*])=O)=O)C=C1,55.94545455
[*]CCO[*],9.431428571
[*]CC(C(NC(C)C)=O)[*],0.264
[*]C(C[*])C1=CC=CC=C1,18.59545455
[*]CC[*],77.978
[*]CCO[*],1.990543478
[*]C(C[*])C1=CC=CC=C1,98.0
CC(C)(C1=CC=C(OC([*])=O)C=C1)C2=CC=C(O[*])C=C2,42.2675
[*]CC(Cl)[*],25.055
[*]CC(C)[*],22.47333333
[*]CC([*])(C=C)C,14.96233333
FC(F)(C(F)([*])F)[*],144.74
[*]OCCOC(CCC([*])=O)=O,193.7
[*]NCCCCCC([*])=O,431.716
[*]CC([*])C#N,1283.16
[*]CC(C(NC(C)C)=O)[*],0.459125
CC(CC([*])=O)O[*],1.1175
N[C@@H]1[C@@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],2.34147
[*]C1=CC=C(C(C)(C2=CC=C(OCC(C[*])O)C=C2)C)C=C1,84.10404762
O[C@@H]1[C@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],1.055425238
[*]CC(N1CCCC1=O)[*],2.473666667
[*]CC([*])C(O)=O,12.51805
[*]CC[*],33.238
O=C1N([*])C(C2=C1C=C(C3=O)C(C(N3C4=CC=C(OC5=CC=C([*])C=C5)C=C4)=O)=C2)=O,3.273846154
[*]OCCCCOC(C1=CC=C(C([*])=O)C=C1)=O,253.3333333
[*]NCCCCCC([*])=O,27.06111111
[*]NC1=CC=C([*])C=C1,0.6624
[*]OCCCCOC(CCC([*])=O)=O,9.3875
[*]C1=CC=C(C(C)(C2=CC=C(OCC(C[*])O)C=C2)C)C=C1,27.1461
[*]C1=CC=C(S[*])C=C1,82.5
[*]CC(C1=CC=C(S(O)(=O)=O)C=C1)[*],0.32
[*]CC[*],43.425
[*]C1=CC=C([*])N1,0.911624444
COC(C([*])(C[*])C)=O,16.7
[*]CC(C(NC(C)C)=O)[*],8.75
[*]C1=C2C(OCCO2)=C([*])S1,0.380533333
CC(C)(C1=CC=C(OC([*])=O)C=C1)C2=CC=C(O[*])C=C2,2.116666667
O[C@@H]1[C@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],20.2
OC1C([*])C(CO)OC(O[*])C1O,7.226
