smiles,He_Permeability_Barrer
*CC(*)F,0.682999994
*CC(*)(F)F,1.72
*CCC(F)(F)C(*)(F)F,5.630000002
*Nc1ccc(*)cc1,4.150000003
*CC(*)C#N,0.53
*CC(*)OC(C)=O,12.6
*CC(*)(C)C(=O)OCC,23.8
*CC(C)O*,101.0000001
*Sc1ccc(*)cc1,4.039999999
*C*,5.64
*CC(*)CC(C)C,112.0000001
*CC(*)c1ccc(F)cc1,34.40000003
*CC(*)c1ccncc1,12.4
*CC(*)C(=O)OCC,43.99999995
*CC(*)C(=O)OCCCCCCCCCCCCCC,52.9
*CC(*)(C)C(=O)OC,7.590000002
*CC(*)Cl,1.5
*CC(CCl)O*,4.830000003
*Oc1ccc(*)cc1,78.10000002
*Oc1c(C)cc(*)cc1C,101.0000001
*Oc1c(-c2ccccc2)cc(*)cc1-c1ccccc1,32.70000003
*CC1CC(*)OCO1,1.600000001
*c1ccc(Oc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)cc1,5.6
*c1ccc(Cc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)cc1,6.679999993
*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(C(c3ccc(N4C(=O)c5ccc(*)cc5C4=O)cc3)(C(F)(F)F)C(F)(F)F)cc1)C2=O,26.69999998
*Oc1ccc(C2(c3ccc(OC(*)=O)cc3)c3ccccc3-c3ccccc32)cc1,21.80000002
*Oc1ccc(C(=C(Cl)Cl)c2ccc(OC(*)=O)cc2)cc1,12.0
*C=CC1CC(*)C(C(F)(F)F)(C(F)(F)F)C1(F)F,184.9999998
*C(C)=C(*)SCC,59.99999995
*Nc1ccc(C2(c3ccc(NC(=O)c4ccc(C(*)=O)cc4)cc3)c3ccccc3-c3ccccc32)cc1,24.69999999
*c1cccc(-c2nc3cc(-c4ccc5[nH]c(*)nc5c4)ccc3[nH]2)c1,1.05
*CC(*)c1ccccc1,22.10000002
*CC(*)c1ccc(C)cc1,37.10000003
*CC(*)c1ccc(O)cc1,3.4
*/C(=C(/*)c1ccc([Si](C(C)C)(C(C)C)C(C)C)cc1)c1ccccc1,315.0000002
*/C(=C(/*)c1ccc([Si](C)(C)C)cc1)c1ccc(-c2ccc(C(C)(C)C)cc2)cc1,560.0
*/C(=C(/*)c1ccc([Si](C)(C)C)cc1)c1ccccc1,1000.0
*/C(=C(/*)c1ccc([Si](c2ccccc2)(c2ccccc2)c2ccccc2)cc1)c1ccccc1,33.00000001
*/C(=C(/*)c1ccc2c(c1)-c1cc([Si](C)(C)C)ccc1C2(C)C)c1ccccc1,8799.999997
*/C(=C(/*)c1ccc2c(c1)-c1ccccc1C2(C)C)c1ccccc1,890.0000007
*/C(=C(/*)c1ccc2c(c1)-c1ccccc1C21CC1)c1ccc([Si](C)(C)C)cc1,479.9999996
*/C(=C(/*)c1ccc2c(c1)-c1ccccc1C21CC1)c1ccccc1,850.0000006
*/C(=C(/*)c1ccc2c(c1)C(C)(C)C(C)(C)C2(C)C)c1ccccc1,10100.00001
*/C(=C(/*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1cc(F)cc(F)c1,13700.0
*/C(=C(/*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(Br)cc1,9199.999993
*/C(=C(/*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(C)cc1,4999.999996
*/C(=C(/*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(Cl)cc1,9300.00001
*/C(=C(/*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(F)c(F)c1,17799.99999
*/C(=C(/*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(F)cc1,15800.0
*/C(=C(/*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc([Si](C)(C)C)cc1,530.0000005
*/C(=C(/*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccccc1,10900.0
*/C(=C(/*)c1ccc2c(c1)C(C)(C)CCC2(C)C)c1ccccc1,3499.999997
*/C(=C(/*)c1ccc2c(c1)CCC2)c1ccc([Si](C)(C)C)cc1,200.0000002
*/C(=C(/*)c1ccc2c(c1)Cc1ccccc1-2)c1ccc([Si](C)(C)C)cc1,1299.999999
*/C(=C(/*)c1ccc2c(c1)Cc1ccccc1-2)c1ccccc1,1600.000001
*/C(=C(/*)c1ccc2c(ccc3ccccc32)c1)c1ccc([Si](C)(C)C)cc1,450.0000002
*/C(=C(/*)c1ccc2c(ccc3ccccc32)c1)c1ccccc1,1149.999999
*/C(=C(/*)c1cccc(-c2ccc(C(C)(C)C)cc2)c1)c1ccccc1,215.0
*/C(=C(/*)c1cccc(-c2ccccc2)c1)c1ccccc1,200.0000002
*/C(=C(/*)c1cccc([Si](C)(C)C)c1)c1ccccc1,634.9999996
*/C(=C(/*)c1ccccc1F)c1ccc2c(c1)C(C)(C)CC2(C)C,12800.00001
*/C(C)=C(/*)CC(C)C,460.0000003
*/C(C)=C(/*)CCC(C)C,240.0000002
*/C(C)=C(/*)[Si](C)(C)C(C)C,680.0000005
*/C(C)=C(/*)[Si](C)(C)CC,829.9999993
*/C(C)=C(/*)[Si](C)(C)CCC,150.0
*/C(C)=C(/*)[Si](C)(C)CCCC,61.99999993
*/C(C)=C(/*)[Si](C)(C)CCCCC,36.99999999
*/C(C)=C(/*)[Si](C)(C)c1ccccc1,8.299999993
*/C(C)=C(/*)c1ccccc1,30.00000002
*/C(CC)=C(/*)c1ccccc1,39.99999997
