smiles,Dielectric_Constant_Electronic
*C(=O)C(=S)C(=O)c1ccc(*)cc1,4.41
*C(=O)C(=S)C(=O)c1ccc(*)s1,5.54
*C(=O)C(=S)Oc1ccc(*)s1,5.35
*C(=O)C(=S)c1ccc(-c2ccc(*)s2)s1,5.67
*C(=O)CC(=O)c1ccc(*)cc1,3.53
*C(=O)CC(=O)c1ccc(*)s1,3.7
*C(=O)CC(=S)c1ccc(*)s1,3.96
*C(=O)CNc1ccc(*)cc1,3.8
*C(=O)Cc1ccc(-c2ccc(*)cc2)s1,4.21
*C(=O)NC(=O)c1ccc(*)cc1,3.915
*C(=O)NOc1ccc(*)cc1,3.66
*C(=O)NOc1ccc(*)s1,3.87
*C(=O)Nc1ccc(-c2ccc(*)s2)s1,5.73
*C(=O)Nc1cccc(*)c1,3.85
*C(=O)OC(=O)c1ccc(*)cc1,3.49
*C(=O)OC(=O)c1ccc(*)s1,3.54
*C(=O)OC(=S)c1ccc(*)s1,4.28
*C(=O)Oc1ccc(-c2ccc(*)s2)cc1,4.55
*C(=O)c1ccc(*)cc1,3.94
*C(=O)c1ccc(*)s1,4.36
*C(=O)c1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,4.09
*C(=O)c1ccc(-c2ccc(-c3ccc(*)cc3)cc2)s1,5.57
*C(=O)c1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,5.26
*C(=O)c1ccc(-c2ccc(-c3ccc(*)s3)cc2)s1,6.66
*C(=O)c1ccc(-c2ccc(-c3ccc(*)s3)s2)cc1,4.63
*C(=O)c1ccc(-c2ccc(C(*)=S)cc2)cc1,4.9
*C(=O)c1ccc(C(=O)c2ccc(*)s2)cc1,4.01
*C(=O)c1ccc(C(=S)c2ccc(*)cc2)cc1,4.5
*C(=O)c1ccc(C(=S)c2ccc(*)s2)cc1,4.51
*C(=O)c1ccc(Cc2ccc(*)cc2)cc1,3.62
*C(=O)c1ccc(Oc2ccc(*)cc2)cc1,3.68
*C(=O)c1ccc(Oc2ccc(*)s2)cc1,4.01
*C(=S)C(=O)Cc1ccc(*)cc1,4.12
*C(=S)C(=O)Nc1ccc(*)cc1,4.72
*C(=S)C(=O)Oc1ccc(*)cc1,4.04
*C(=S)C(=O)c1ccc(-c2ccc(*)cc2)s1,5.19
*C(=S)C(=O)c1ccc(-c2ccc(*)s2)cc1,5.03
*C(=S)CCc1ccc(*)s1,4.02
*C(=S)COc1ccc(*)s1,4.67
*C(=S)Cc1ccc(-c2ccc(*)s2)s1,4.82
*C(=S)NC(=O)c1ccc(*)cc1,3.88
*C(=S)NC(=S)c1ccc(*)s1,5.54
*C(=S)NOc1ccc(*)s1,4.58
*C(=S)Nc1ccc(-c2ccc(*)cc2)cc1,4.41
*C(=S)OC(=S)c1ccc(*)s1,5.28
*C(=S)Oc1ccc(-c2ccc(*)cc2)cc1,4.18
*C(=S)Oc1ccc(-c2ccc(*)s2)s1,4.98
*C(=S)c1ccc(*)cc1,3.59
*C(=S)c1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,4.32
*C(=S)c1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,5.38
*C(=S)c1ccc(C(=O)c2ccc(*)s2)s1,5.28
*C(=S)c1ccc(C(=S)c2ccc(*)cc2)s1,6.23
*C(=S)c1ccc(Cc2ccc(*)cc2)cc1,3.87
*C(=S)c1ccc(Cc2ccc(C(=S)c3ccc(Cc4ccc(*)cc4)s3)cc2)s1,3.87
*C(=S)c1ccc(Oc2ccc(*)cc2)cc1,4.35
*C(F)C(*)(F)F,2.5
*CC(*)(F)F,2.54
*CC(*)=O,3.09
*CC(*)=S,3.74
*CC(*)C,2.59
*CC(*)C#N,2.73
*CC(*)F,2.66
*CC(*)c1ccccc1,2.64
*CC(*)c1ccccn1,2.93
*CC(=O)C(=S)C(*)=O,4.8
*CC(=O)C(=S)N*,4.09
*CC(=O)C(=S)c1ccc(*)s1,4.21
*CC(=O)CN*,2.96
*CC(=O)Cc1ccc(*)cc1,3.11
*CC(=O)Cc1ccc(*)s1,3.24
*CC(=O)NC(*)=O,3.19
*CC(=O)NC(*)=S,3.71
*CC(=O)NO*,3.04
*CC(=O)Nc1ccc(*)cc1,3.35
*CC(=O)Nc1ccc(*)s1,3.53
*CC(=O)OC(*)=O,2.9
