smiles,Dielectric_Constant_Ionic
*C(=O)C(=S)C(=O)c1ccc(*)cc1,0.621
*C(=O)C(=S)C(=O)c1ccc(*)s1,1.15
*C(=O)C(=S)Oc1ccc(*)s1,0.972
*C(=O)C(=S)c1ccc(-c2ccc(*)s2)s1,0.925
*C(=O)CC(=O)c1ccc(*)cc1,0.732
*C(=O)CC(=O)c1ccc(*)s1,0.693
*C(=O)CC(=S)c1ccc(*)s1,0.6835
*C(=O)CNc1ccc(*)cc1,1.04
*C(=O)Cc1ccc(-c2ccc(*)cc2)s1,0.542
*C(=O)NC(=O)c1ccc(*)cc1,1.595
*C(=O)NOc1ccc(*)cc1,0.708
*C(=O)NOc1ccc(*)s1,1.04
*C(=O)Nc1ccc(-c2ccc(*)s2)s1,1.2
*C(=O)Nc1cccc(*)c1,0.605
*C(=O)OC(=O)c1ccc(*)cc1,1.86
*C(=O)OC(=O)c1ccc(*)s1,1.08
*C(=O)OC(=S)c1ccc(*)s1,1.34
*C(=O)Oc1ccc(-c2ccc(*)s2)cc1,0.936
*C(=O)c1ccc(*)cc1,0.644
*C(=O)c1ccc(*)s1,0.908
*C(=O)c1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,0.406
*C(=O)c1ccc(-c2ccc(-c3ccc(*)cc3)cc2)s1,0.645
*C(=O)c1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,0.557
*C(=O)c1ccc(-c2ccc(-c3ccc(*)s3)cc2)s1,1.03
*C(=O)c1ccc(-c2ccc(-c3ccc(*)s3)s2)cc1,0.6
*C(=O)c1ccc(-c2ccc(C(*)=S)cc2)cc1,0.672
*C(=O)c1ccc(C(=O)c2ccc(*)s2)cc1,0.818
*C(=O)c1ccc(C(=S)c2ccc(*)cc2)cc1,0.458
*C(=O)c1ccc(C(=S)c2ccc(*)s2)cc1,0.6
*C(=O)c1ccc(Cc2ccc(*)cc2)cc1,0.334
*C(=O)c1ccc(Oc2ccc(*)cc2)cc1,0.584
*C(=O)c1ccc(Oc2ccc(*)s2)cc1,0.805
*C(=S)C(=O)Cc1ccc(*)cc1,0.586
*C(=S)C(=O)Nc1ccc(*)cc1,1.45
*C(=S)C(=O)Oc1ccc(*)cc1,1.63
*C(=S)C(=O)c1ccc(-c2ccc(*)cc2)s1,0.827
*C(=S)C(=O)c1ccc(-c2ccc(*)s2)cc1,0.817
*C(=S)CCc1ccc(*)s1,0.381
*C(=S)COc1ccc(*)s1,0.874
*C(=S)Cc1ccc(-c2ccc(*)s2)s1,0.526
*C(=S)NC(=O)c1ccc(*)cc1,1.22
*C(=S)NC(=S)c1ccc(*)s1,0.944
*C(=S)NOc1ccc(*)s1,1.05
*C(=S)Nc1ccc(-c2ccc(*)cc2)cc1,0.419
*C(=S)OC(=S)c1ccc(*)s1,0.95
