smiles,Dielectric_Constant_Total
*C(=O)C(=S)C(=O)c1ccc(*)cc1,5.03
*C(=O)C(=S)C(=O)c1ccc(*)s1,6.69
*C(=O)C(=S)Oc1ccc(*)s1,6.32
*C(=O)C(=S)c1ccc(-c2ccc(*)s2)s1,6.59
*C(=O)CC(=O)c1ccc(*)cc1,4.27
*C(=O)CC(=O)c1ccc(*)s1,4.4
*C(=O)CC(=S)c1ccc(*)s1,4.645
*C(=O)CNc1ccc(*)cc1,4.84
*C(=O)Cc1ccc(-c2ccc(*)cc2)s1,4.75
*C(=O)NC(=O)c1ccc(*)cc1,5.51
*C(=O)NOc1ccc(*)cc1,4.37
*C(=O)NOc1ccc(*)s1,4.91
*C(=O)Nc1ccc(-c2ccc(*)s2)s1,6.92
*C(=O)Nc1cccc(*)c1,4.45
*C(=O)OC(=O)c1ccc(*)cc1,5.35
*C(=O)OC(=O)c1ccc(*)s1,4.62
*C(=O)OC(=S)c1ccc(*)s1,5.62
*C(=O)Oc1ccc(-c2ccc(*)s2)cc1,5.49
*C(=O)c1ccc(*)cc1,4.58
*C(=O)c1ccc(*)s1,5.27
*C(=O)c1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,4.49
*C(=O)c1ccc(-c2ccc(-c3ccc(*)cc3)cc2)s1,6.22
*C(=O)c1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,5.81
*C(=O)c1ccc(-c2ccc(-c3ccc(*)s3)cc2)s1,7.69
*C(=O)c1ccc(-c2ccc(-c3ccc(*)s3)s2)cc1,5.23
*C(=O)c1ccc(-c2ccc(C(*)=S)cc2)cc1,5.57
*C(=O)c1ccc(C(=O)c2ccc(*)s2)cc1,4.83
*C(=O)c1ccc(C(=S)c2ccc(*)cc2)cc1,4.96
*C(=O)c1ccc(C(=S)c2ccc(*)s2)cc1,5.11
*C(=O)c1ccc(Cc2ccc(*)cc2)cc1,3.95
*C(=O)c1ccc(Oc2ccc(*)cc2)cc1,4.26
*C(=O)c1ccc(Oc2ccc(*)s2)cc1,4.82
*C(=S)C(=O)Cc1ccc(*)cc1,4.71
*C(=S)C(=O)Nc1ccc(*)cc1,6.17
*C(=S)C(=O)Oc1ccc(*)cc1,5.67
*C(=S)C(=O)c1ccc(-c2ccc(*)cc2)s1,6.02
*C(=S)C(=O)c1ccc(-c2ccc(*)s2)cc1,5.85
*C(=S)CCc1ccc(*)s1,4.4
*C(=S)COc1ccc(*)s1,5.55
*C(=S)Cc1ccc(-c2ccc(*)s2)s1,5.35
*C(=S)NC(=O)c1ccc(*)cc1,5.1
*C(=S)NC(=S)c1ccc(*)s1,6.48
*C(=S)NOc1ccc(*)s1,5.63
*C(=S)Nc1ccc(-c2ccc(*)cc2)cc1,4.83
*C(=S)OC(=S)c1ccc(*)s1,6.23
*C(=S)Oc1ccc(-c2ccc(*)cc2)cc1,4.58
*C(=S)Oc1ccc(-c2ccc(*)s2)s1,5.92
*C(=S)c1ccc(*)cc1,3.8
*C(=S)c1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,4.59
*C(=S)c1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,5.94
*C(=S)c1ccc(C(=O)c2ccc(*)s2)s1,6.14
*C(=S)c1ccc(C(=S)c2ccc(*)cc2)s1,6.85
*C(=S)c1ccc(Cc2ccc(*)cc2)cc1,4.1
*C(=S)c1ccc(Cc2ccc(C(=S)c3ccc(Cc4ccc(*)cc4)s3)cc2)s1,4.17
*C(=S)c1ccc(Oc2ccc(*)cc2)cc1,5.0
*C(F)C(*)(F)F,3.08
*CC(*)(F)F,3.26
*CC(*)=O,3.86
*CC(*)=S,3.96
*CC(*)C,2.61
*CC(*)C#N,3.23
*CC(*)F,3.22
*CC(*)c1ccccc1,2.72
*CC(*)c1ccccn1,3.06
*CC(=O)C(=S)C(*)=O,6.18
*CC(=O)C(=S)N*,5.2
*CC(=O)C(=S)c1ccc(*)s1,4.82
*CC(=O)CN*,3.52
*CC(=O)Cc1ccc(*)cc1,3.52
