smiles,H2_Permeability_Barrer
CC(C([*])=O)O[*],0.5825
COC(C([*])(C[*])C)=O,0.0855
[*]OCCCCCC([*])=O,10.2915
[*]CC([*])O,480.5
[*]C(F)(C[*])F,352.0775
CC(C([*])=O)O[*],0.385
[*][Si](C)(O[*])C,961.6666667
[*]C1=CC=C(C(OCCOC([*])=O)=O)C=C1,0.24725
[*]CCO[*],90.5125
[*]C(C[*])C1=CC=CC=C1,66.83333333
[*]CC[*],36.0
[*]CCO[*],116.9
[*]C(C[*])C1=CC=CC=C1,79.25
CC(C)(C1=CC=C(OC([*])=O)C=C1)C2=CC=C(O[*])C=C2,7.633333333
[*]CC([*])(C=C)C,634.76
[*]OCCOC(CCC([*])=O)=O,37.00666667
[*]CC([*])C#N,70.33333333
CC(CC([*])=O)O[*],1850.0
N[C@@H]1[C@@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],0.08
O[C@@H]1[C@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],96.2
[*]CC(N1CCCC1=O)[*],845.3333333
O=C1N([*])C(C2=C1C=C(C3=O)C(C(N3C4=CC=C(OC5=CC=C([*])C=C5)C=C4)=O)=C2)=O,65.12428571
[*]OCCCCOC(C1=CC=C(C([*])=O)C=C1)=O,450.0
[*]NCCCCCC([*])=O,1.3
[*]CCN[*],76.8725
[*]NC1=CC=C([*])C=C1,124.2
[*]CC[*],12.7
[*]C1=CC(C)=C(O[*])C(C)=C1,113.2385714
[*]CC(C1=CC=C(S(O)(=O)=O)C=C1)[*],80.0
[*]C1=CC=C([*])N1,125.0
CC(C)(C1=CC=C(OC([*])=O)C=C1)C2=CC=C(O[*])C=C2,4.34
N[C@@H]1[C@@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],65.53
[*]OC1=CC=C(C(C)(C2=CC=C(OC3=CC=C(S(=O)(C4=CC=C([*])C=C4)=O)C=C3)C=C2)C)C=C1,14.766
O=C1N([*])C(C2=C1C=C(C3=O)C(C(N3C4=CC=C(OC5=CC=C([*])C=C5)C=C4)=O)=C2)=O,336.25
[*][Si](C)(O[*])C,9783.333333
[*]CC(C(N)=O)[*],29.3
[*]OC1=CC=C(C(C)(C2=CC=C(OC3=CC=C(S(=O)(C4=CC=C([*])C=C4)=O)C=C3)C=C2)C)C=C1,14.766
[*]NC1=CC=C([*])C=C1,4.12
[*]C/C=C/C[*],0.2
[*]CC(C(N)=O)[*],23.325
[*]OC1=CC=C(C(C)(C2=CC=C(OC3=CC=C(S(=O)(C4=CC=C([*])C=C4)=O)C=C3)C=C2)C)C=C1,8.066666667
FC(F)(C(F)([*])F)[*],5.66
[*]CCO[*],1470.0
FC(F)(C(F)([*])F)[*],2555.0
[*]OCC[*],1419.0
[*]C1=CC=C([*])S1,126.0
[*]CCO[*],901.0
[*]OCC[*],1000.0
[*]C(C([H])([*])[H])([H])C1=CC=CC=C1,66.83333333
[*]CCCCO[*],9.0
[*]C([H])([H])C(F)([*])F,1000.0
[*]C([H])([H])C(Cl)([H])[*],4.4
[*]C(C[*])C1=CC=CC=C1,23.8
[*]C(F)(C(F)(C(F)(C(F)([*])F)OC(F)(F)C(F)(F)C(F)(F)F)F)F,206.0
[*]OC1=CC=C(S(=O)(C2=CC=C([*])C=C2)=O)C=C1,26.09
[*]N([H])CCCCCC([*])=O,18.43333333
[*]C([H])([H])C([H])([H])[*],0.97
*CC(*)F,0.349999996
*CC(*)(F)F,0.538000005
*Nc1ccc(*)cc1,3.659999997
*CC(*)OC(C)=O,9.189999992
*CC(*)(C)C(=O)OCC,21.80000002
*CC(C)O*,68.69999999
*CC(*)CC(C)C,146.0000001
*CC(*)c1ccncc1,12.6
*CC(*)C(=O)OCC,60.40000005
*CC(*)C(=O)OCCCCCCCCCCCCCC,96.19999999
*CC(*)(C)C(=O)OC,3.55
*CC(*)Cl,1.400000001
*Oc1ccc(*)cc1,112.9999999
*Oc1c(C)cc(*)cc1C,68.69999999
*Oc1c(-c2ccccc2)cc(*)cc1-c1ccccc1,27.99999998
*CC1CC(*)OCO1,0.930000003
*c1ccc(Oc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)cc1,5.98
*c1ccc(Cc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)cc1,6.609999993
*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(N4C(=O)c5ccc(*)cc5C4=O)cc3)cc1)C2=O,4.19
*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(Cc3ccc(N4C(=O)c5ccc(*)cc5C4=O)cc3)cc1)C2=O,4.029999999
*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(C(c3ccc(N4C(=O)c5ccc(*)cc5C4=O)cc3)(C(F)(F)F)C(F)(F)F)cc1)C2=O,30.80000004
*Oc1ccc(C(=C(Cl)Cl)c2ccc(OC(*)=O)cc2)cc1,12.4
*C(C)=C(*)SCC,89.99999991
*C(C)=C(*)CCC,160.0000001
*c1ccc(Oc2cccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)c2)cc1,5.920000004
*c1c(C)cc(C)c(N2C(=O)c3ccc(-c4ccc5c(c4)C(=O)N(*)C5=O)cc3C2=O)c1C,205.9999998
*c1cccc(Oc2cccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)c2)c1,3.600000002
*C=CC1CC(*)c2c1c(O)n(-c1cc(C(F)(F)F)cc(C(F)(F)F)c1)c2O,57.39999995
*c1cccc(-c2nc3cc(-c4ccc5[nH]c(*)nc5c4)ccc3[nH]2)c1,0.615000006
*CC(*)c1ccccc1,26.69999998
*/C(=C(/*)c1ccc([Si](C(C)C)(C(C)C)C(C)C)cc1)c1ccccc1,530.0000005
*/C(=C(/*)c1ccc([Si](C)(C)C)cc1)c1ccc(-c2ccc(C(C)(C)C)cc2)cc1,1200.0
*/C(=C(/*)c1ccc([Si](C)(C)C)cc1)c1ccccc1,2100.000001
*/C(=C(/*)c1ccc([Si](c2ccccc2)(c2ccccc2)c2ccccc2)cc1)c1ccccc1,51.69999999
*/C(=C(/*)c1ccc2c(c1)-c1cc([Si](C)(C)C)ccc1C2(C)C)c1ccccc1,19000.0
*/C(=C(/*)c1ccc2c(c1)-c1ccccc1C2(C)C)c1ccccc1,2000.000002
*/C(=C(/*)c1ccc2c(c1)-c1ccccc1C21CC1)c1ccc([Si](C)(C)C)cc1,980.0000007
*/C(=C(/*)c1ccc2c(c1)-c1ccccc1C21CC1)c1ccccc1,1949.999998
*/C(=C(/*)c1ccc2c(c1)C(C)(C)C(C)(C)C2(C)C)c1ccccc1,23200.00001
*/C(=C(/*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1cc(F)cc(F)c1,28500.0
*/C(=C(/*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(Br)cc1,20699.99998
*/C(=C(/*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(C)cc1,10799.99999
*/C(=C(/*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(Cl)cc1,20599.99998
*/C(=C(/*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(F)c(F)c1,36800.00003
*/C(=C(/*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(F)cc1,33300.00004
*/C(=C(/*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc([Si](C)(C)C)cc1,1100.0
*/C(=C(/*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccccc1,24499.99998
*/C(=C(/*)c1ccc2c(c1)C(C)(C)CCC2(C)C)c1ccccc1,7699.999997
*/C(=C(/*)c1ccc2c(c1)CCC2)c1ccc([Si](C)(C)C)cc1,360.0000002
*/C(=C(/*)c1ccc2c(c1)Cc1ccccc1-2)c1ccc([Si](C)(C)C)cc1,3100.000001
*/C(=C(/*)c1ccc2c(c1)Cc1ccccc1-2)c1ccccc1,3649.999996
*/C(=C(/*)c1ccc2c(ccc3ccccc32)c1)c1ccc([Si](C)(C)C)cc1,899.9999991
*/C(=C(/*)c1ccc2c(ccc3ccccc32)c1)c1ccccc1,2500.000002
*/C(=C(/*)c1cccc(-c2ccc(C(C)(C)C)cc2)c1)c1ccccc1,455.0000004
*/C(=C(/*)c1cccc(-c2ccccc2)c1)c1ccccc1,439.9999995
