smiles,Swelling_Degree_percentage
CC(C([*])=O)O[*],107.5938462
COC(C([*])(C[*])C)=O,32.99
[*]OCCCCCC([*])=O,341.25
[*]CC(C)[*],44.16888889
[*]CC([*])O,240.2320312
[*]C(F)(C[*])F,10.66
CC(C([*])=O)O[*],48.2
[*][Si](C)(O[*])C,66.91111111
[*]C(C[*])C1=CC=CC=C1,126.7333333
[*]C1=CC=C(C(OCCOC([*])=O)=O)C=C1,32.4
[*]CCO[*],189.6666667
[*]CC(C(NC(C)C)=O)[*],595.0
[*]CC[*],6.466666667
[*]CCO[*],261.484375
[*]C(C[*])C1=CC=CC=C1,956.0
CC(C)(C1=CC=C(OC([*])=O)C=C1)C2=CC=C(O[*])C=C2,300.0
[*]CC(Cl)[*],56.9
[*]CC([*])(C=C)C,14.66666667
FC(F)(C(F)([*])F)[*],95.0
[*]OCCOC(CCC([*])=O)=O,4.82
[*]CC([*])C#N,35.7
[*]CC(C(NC(C)C)=O)[*],375.56
N[C@@H]1[C@@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],267.5456667
[*]C1=CC=C(C(C)(C2=CC=C(OCC(C[*])O)C=C2)C)C=C1,25.0
O[C@@H]1[C@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],800.0
[*]CC(N1CCCC1=O)[*],756.0
[*]CC([*])C(O)=O,262.1442857
O=C1N([*])C(C2=C1C=C(C3=O)C(C(N3C4=CC=C(OC5=CC=C([*])C=C5)C=C4)=O)=C2)=O,101.6666667
[*]NCCCCCC([*])=O,33.38571429
[*]CCN[*],2.712
[*]NC1=CC=C([*])C=C1,106.0
[*]OCCCCOC(CCC([*])=O)=O,217.5
[*]CC[*],24.75
[*]C1=CC(C)=C(O[*])C(C)=C1,22.65
[*]CC(C1=CC=C(S(O)(=O)=O)C=C1)[*],166.75
[*]CC[*],2.05
[*]C1=CC=C([*])N1,350.0
[*]C1=C2C(OCCO2)=C([*])S1,185.5
O[C@@H]1[C@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],510.0
OC1C([*])C(CO)OC(O[*])C1O,61.364
N[C@@H]1[C@@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],214.4647619
[*]CC(C(NC(C)C)=O)[*],595.0
[*]OC1=CC=C(C(C)(C2=CC=C(OC3=CC=C(S(=O)(C4=CC=C([*])C=C4)=O)C=C3)C=C2)C)C=C1,192.4
[*]CC(C(OCCCC)=O)[*],684.3333333
[*]CC([*])(C=C)C,177.5
[*]C1=CC=C(C(OCCOC([*])=O)=O)C=C1,13.72
[*]C/C=C/C[*],399.3333333
[*][Si](C)(O[*])C,152.5
[*]OCCCCCC([*])=O,27.5
O[C@@H]1[C@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],337.156
[*]CC(C(N)=O)[*],718.6666667
[*]CC([*])O,139.425
[*]OC1=CC=C(C(C)(C2=CC=C(OC3=CC=C(S(=O)(C4=CC=C([*])C=C4)=O)C=C3)C=C2)C)C=C1,192.4
COC(C([*])(C[*])C)=O,80.075
[*]C/C=C/C[*],45.9
[*]C([H])(O[*])[H],229.0
[*]C(C[*])C1=CC=CC=C1,19.7
[*]CC(C(N)=O)[*],228.5666667
[*]CC(C(NC(C)C)=O)[*],35.0
[*]C1=CC=C(C(C)(C2=CC=C(OCC(C[*])O)C=C2)C)C=C1,7.21
[*]CC(C)(C(OCCO)=O)[*],77.2
[*]OC1=CC=C(C(C)(C2=CC=C(OC3=CC=C(S(=O)(C4=CC=C([*])C=C4)=O)C=C3)C=C2)C)C=C1,55.0
[*]C1=CC=C(C(OCCOC([*])=O)=O)C=C1,60.0
[*]CC(C(NC(C)C)=O)[*],754.7333333
[*]C(CC(O[*])C)=O,822.6833333
[*]C(CO[*])=O,52.0
[*]C1=CC=C([*])N1,6.0
[*]CC([*])O,173.7466667
[*]OCC[*],728.0
[*]C(C)C(O[*])=O,27.5
[*]C(C[*])C1=CC=NC=C1,18.33333333
[*]OCC(C)O[*],21.33333333
[*]OCC[*],6.0
[*]OCCCCCC([*])=O,275.0
[*]OC1=CC=C(C(C)(C2=CC=C(OC3=CC=C(S(=O)(C4=CC=C([*])C=C4)=O)C=C3)C=C2)C)C=C1,8.0
[*]NCCCCCC([*])=O,2.0
[*]CC(F)([*])F,5.5
[*]CC(C(NC(C)C)=O)[*],2.5
O=C1CCCCCN1C([*])C[*],890.75
[*]CC(C(N(C)C)=O)[*],144.0
C/C(C[*])=C(C[*])\[H],503.8
OC1=C(O)C([*])=C2C(NC=C2)=C1[*],18.7
[*]CC(C(NC(C)C)=O)[*],595.0
[*]CC(CC(C)C)[*],19.0
[*]CC(C(NC(C)C)=O)[*],375.56
[*]N([H])CCCCCC([*])=O,10.0
[*]OCCCCCC([*])=O,27.5
