smiles,Tensile_Strength_MPa
CC(C([*])=O)O[*],51.35984829
COC(C([*])(C[*])C)=O,48.88666667
[*]OCCCCCC([*])=O,11.0172007
[*]CC(C)[*],31.5591236
[*]CC([*])O,29.51726462
[*]C(F)(C[*])F,12.60990876
CC(C([*])=O)O[*],44.46366337
[*][Si](C)(O[*])C,3.327323944
[*]C(C[*])C1=CC=CC=C1,26.48273282
[*]C1=CC=C(C(OCCOC([*])=O)=O)C=C1,61.5532243
[*]CCO[*],5.376923077
[*]CC(C(NC(C)C)=O)[*],0.3289
[*]C(C[*])C1=CC=CC=C1,31.997
[*]CC[*],27.1232
[*]CCO[*],8.705703125
[*]C(C[*])C1=CC=CC=C1,39.42796591
CC(C)(C1=CC=C(OC([*])=O)C=C1)C2=CC=C(O[*])C=C2,51.26665854
[*]CC(Cl)[*],24.71402609
[*]CC(C)[*],35.94686207
[*]CC([*])(C=C)C,111.6567857
FC(F)(C(F)([*])F)[*],25.5038
[*]OCCOC(CCC([*])=O)=O,24.04446154
[*]NCCCCCC([*])=O,65.73653509
[*]CC([*])C#N,106.1541732
[*]CC(C(NC(C)C)=O)[*],8.814285714
CC(CC([*])=O)O[*],29.19402439
N[C@@H]1[C@@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],30.98912057
[*]C1=CC=C(C(C)(C2=CC=C(OCC(C[*])O)C=C2)C)C=C1,56.4076699
O[C@@H]1[C@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],77.67211534
[*]CC(N1CCCC1=O)[*],7.737777778
[*]C1=C(CCCCCC)C=C([*])S1,54.925
[*]CC([*])C(O)=O,11.68805172
[*]CC[*],27.52424837
O=C1N([*])C(C2=C1C=C(C3=O)C(C(N3C4=CC=C(OC5=CC=C([*])C=C5)C=C4)=O)=C2)=O,102.5479518
[*]OCCCCOC(C1=CC=C(C([*])=O)C=C1)=O,53.6904878
[*]NCCCCCC([*])=O,16.54582418
[*]CCN[*],64.99917808
[*]NC1=CC=C([*])C=C1,14.12904762
[*]OCCCCOC(CCC([*])=O)=O,34.79211268
[*]C1=CC=C(C(C)(C2=CC=C(OCC(C[*])O)C=C2)C)C=C1,57.09274194
[*]C1=CC=C(S[*])C=C1,43.38166667
[*]CC[*],12.68314607
O=C(O[*])C1=CC(C=CC(C(OCC[*])=O)=C2)=C2C=C1,91.35830189
[*]C1=CC(C)=C(O[*])C(C)=C1,39.56916667
[*]CC(C1=CC=C(S(O)(=O)=O)C=C1)[*],25.51238095
[*]CC(C)[*],36.44651163
[*]CC[*],65.15350515
[*]C1=CC=C([*])N1,33.13209302
[*]C(C1=CC=C(C(OCCCO[*])=O)C=C1)=O,55.90263158
COC(C([*])(C[*])C)=O,71.9125
[*]CC(C(NC(C)C)=O)[*],0.30775
[*]C1=C2C(OCCO2)=C([*])S1,93.78153846
CC(C)(C1=CC=C(OC([*])=O)C=C1)C2=CC=C(O[*])C=C2,55.6032
O[C@@H]1[C@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],40.80714286
OC1C([*])C(CO)OC(O[*])C1O,10.31629787
[*]CC(C)(C(OCCN(C)C)=O)[*],0.33683
N[C@@H]1[C@@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],18.63903571
[*]CC([*])OC(C)=O,7.154444444
[*]CC(C(NC(C)C)=O)[*],0.3289
[*]OC1=CC=C(C(C)(C2=CC=C(OC3=CC=C(S(=O)(C4=CC=C([*])C=C4)=O)C=C3)C=C2)C)C=C1,5.670192308
[*]CC(C(OCCCC)=O)[*],30.565
O=C1N([*])C(C2=C1C=C(C3=O)C(C(N3C4=CC=C(OC5=CC=C([*])C=C5)C=C4)=O)=C2)=O,96.5813253
[*]CC([*])(C=C)C,10.87801724
[*]C1=CC=C(C(OCCOC([*])=O)=O)C=C1,48.06733214
[*]C/C=C/C[*],24.893
[*][Si](C)(O[*])C,10.419375
[*]OCCCCCC([*])=O,18.14117647
O[C@@H]1[C@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],88.3526506
[*]OCCCOC([*])=O,9.62
CC(C([*])=O)O[*],48.01583333
[*]CC(C(NC(C)C)=O)[*],0.30775
[*]NCCCCCC([*])=O,70.41428571
[*]NCCCCCCCCCCCC([*])=O,47.172
[*]CC(C(N)=O)[*],0.429101458
[*]CC(C)(C(OCCCC)=O)[*],8.744
