smiles,Thermal_Conductivity_W_per_mK
CC(C([*])=O)O[*],0.189512727
COC(C([*])(C[*])C)=O,0.398120106
[*]OCCCCCC([*])=O,0.41
[*]CC(C)[*],0.330772333
[*]CC([*])O,0.892038095
[*]C(F)(C[*])F,0.549946825
CC(C([*])=O)O[*],0.294153846
[*][Si](C)(O[*])C,0.378165934
[*]C(C[*])C1=CC=CC=C1,0.265563043
[*]C1=CC=C(C(OCCOC([*])=O)=O)C=C1,0.199117647
[*]CCO[*],4.98
[*]CC(C(NC(C)C)=O)[*],0.403333333
[*]C(C[*])C1=CC=CC=C1,0.210455814
[*]CC[*],6.009020833
[*]CCO[*],0.4214
[*]C(C[*])C1=CC=CC=C1,34.33324675
CC(C)(C1=CC=C(OC([*])=O)C=C1)C2=CC=C(O[*])C=C2,0.55455
[*]CC(Cl)[*],0.20344
[*]CC(C)[*],0.52825
[*]CC([*])(C=C)C,0.684844681
FC(F)(C(F)([*])F)[*],0.343052609
[*]OCCOC(CCC([*])=O)=O,0.993714286
[*]NCCCCCC([*])=O,1.409818182
[*]CC([*])C#N,4.713857143
CC(CC([*])=O)O[*],0.827
N[C@@H]1[C@@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],0.1825
[*]C1=CC=C(C(C)(C2=CC=C(OCC(C[*])O)C=C2)C)C=C1,0.861893056
O[C@@H]1[C@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],1.274826923
[*]CC(N1CCCC1=O)[*],0.265
[*]C1=C(CCCCCC)C=C([*])S1,0.705714286
[*]CC([*])C(O)=O,0.4395
[*]CC[*],0.878419355
O=C1N([*])C(C2=C1C=C(C3=O)C(C(N3C4=CC=C(OC5=CC=C([*])C=C5)C=C4)=O)=C2)=O,0.66317381
[*]OCCCCOC(C1=CC=C(C([*])=O)C=C1)=O,0.27
[*]NCCCCCC([*])=O,1.0423
[*]CCN[*],0.3179
[*]NC1=CC=C([*])C=C1,0.369815
[*]OCCCCOC(CCC([*])=O)=O,0.6275
[*]C1=CC=C(C(C)(C2=CC=C(OCC(C[*])O)C=C2)C)C=C1,0.51922619
[*]C1=CC=C(S[*])C=C1,1.343333333
[*]CC[*],0.655181818
O=C(O[*])C1=CC(C=CC(C(OCC[*])=O)=C2)=C2C=C1,0.531
[*]CC(C1=CC=C(S(O)(=O)=O)C=C1)[*],0.366305556
[*]CC(C)[*],0.17
[*]CC[*],9.8055
[*]C1=CC=C([*])N1,0.2789875
[*]C(C1=CC=C(C(OCCCO[*])=O)C=C1)=O,149.0
COC(C([*])(C[*])C)=O,0.298181818
[*]C1=C2C(OCCO2)=C([*])S1,0.344133333
CC(C)(C1=CC=C(OC([*])=O)C=C1)C2=CC=C(O[*])C=C2,0.47
O[C@@H]1[C@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],0.183642857
N[C@@H]1[C@@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],0.163931667
[*]CC([*])OC(C)=O,0.25
[*]CC(C(NC(C)C)=O)[*],0.403333333
[*]OC1=CC=C(C(C)(C2=CC=C(OC3=CC=C(S(=O)(C4=CC=C([*])C=C4)=O)C=C3)C=C2)C)C=C1,0.033333333
[*]CC(C(OCCCC)=O)[*],6.834666667
O=C1N([*])C(C2=C1C=C(C3=O)C(C(N3C4=CC=C(OC5=CC=C([*])C=C5)C=C4)=O)=C2)=O,0.188
[*]CC([*])(C=C)C,0.166818182
[*]C1=CC=C(C(OCCOC([*])=O)=O)C=C1,0.41125
[*]C/C=C/C[*],0.825
[*][Si](C)(O[*])C,1.500857143
[*]OCCCCCC([*])=O,0.3315
O[C@@H]1[C@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],0.799409091
CC(C([*])=O)O[*],0.715
[*]NCCCCCC([*])=O,0.398571429
[*]NCCCCCCCCCCCC([*])=O,0.472666667
CC(C([*])=O)O[*],1.49
[*]NCCCCCC([*])=O,0.701125
[*]CC([*])O,2.987444444
[*]CC[*],0.899090909
[*]OC1=CC=C(C(C)(C2=CC=C(OC3=CC=C(S(=O)(C4=CC=C([*])C=C4)=O)C=C3)C=C2)C)C=C1,0.033333333
[*]NC1=CC=C([*])C=C1,0.157122222
COC(C([*])(C[*])C)=O,0.19
[*]C/C=C/C[*],0.1
[*]C([H])(O[*])[H],0.963
[*]C(C[*])C1=CC=CC=C1,0.21475
[*]CC(C(N)=O)[*],0.42
[*]CC(C)(C(O)=O)[*],4.64
[*]NCCCCCC([*])=O,1.45946
[*]C1=CC=C(C(C)(C2=CC=C(OCC(C[*])O)C=C2)C)C=C1,0.51
[*]CC(C)(C(OCCO)=O)[*],0.33
[*]OC1=CC=C(C(C)(C2=CC=C(OC3=CC=C(S(=O)(C4=CC=C([*])C=C4)=O)C=C3)C=C2)C)C=C1,1.155
[*]C1=CC=C(C(OCCOC([*])=O)=O)C=C1,1.0
[*]CC(O)[*],0.613
[*]C(CC(O[*])C)=O,5.0
FC(F)(C(F)([*])F)[*],0.257
[*]CCO[*],0.097
FC(F)(C(F)([*])F)[*],0.305
[*]C1=CC=C([*])N1,0.273
[*]CC([*])O,1.4022
[*]CC([*])C#N,143.7536
[*]CC(C#N)[*],143.7536
[*]OCC[*],9.0
[*]C(C)C(O[*])=O,0.19
[*]CC(C)([*])C,0.13
[*]C(C[*])C1=CC=NC=C1,0.153
[*]C1=CC=C([*])S1,6.4
