smiles,Tm_K
CC(C([*])=O)O[*],434.1262519
COC(C([*])(C[*])C)=O,425.5315534
[*]OCCCCCC([*])=O,332.2899748
[*]CC(C)[*],436.3634085
[*]CC([*])O,482.3814257
[*]C(F)(C[*])F,440.2074189
CC(C([*])=O)O[*],442.4739919
[*][Si](C)(O[*])C,337.2126
[*]C(C[*])C1=CC=CC=C1,419.6389583
[*]C1=CC=C(C(OCCOC([*])=O)=O)C=C1,523.4178857
[*]CCO[*],335.1621175
[*]CC(C(NC(C)C)=O)[*],327.1181818
[*]C(C[*])C1=CC=CC=C1,511.4295918
[*]CC[*],400.0474597
[*]CCO[*],328.9288032
[*]C(C[*])C1=CC=CC=C1,402.3904933
CC(C)(C1=CC=C(OC([*])=O)C=C1)C2=CC=C(O[*])C=C2,478.9862338
[*]CC(Cl)[*],422.4248
[*]CC(C)[*],434.6538961
[*]CC([*])(C=C)C,518.312963
FC(F)(C(F)([*])F)[*],600.6318537
[*]OCCOC(CCC([*])=O)=O,382.4709639
[*]NCCCCCC([*])=O,491.7688492
[*]CC([*])C#N,572.2063768
[*]CC(C(NC(C)C)=O)[*],383.605
CC(CC([*])=O)O[*],446.7003235
N[C@@H]1[C@@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],399.7452083
[*]C1=CC=C(C(C)(C2=CC=C(OCC(C[*])O)C=C2)C)C=C1,408.7928571
O[C@@H]1[C@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],387.7575
[*]CC(N1CCCC1=O)[*],428.7617391
[*]C1=C(CCCCCC)C=C([*])S1,494.7450673
[*]CC([*])C(O)=O,409.1152381
[*]CC[*],405.1815522
O=C1N([*])C(C2=C1C=C(C3=O)C(C(N3C4=CC=C(OC5=CC=C([*])C=C5)C=C4)=O)=C2)=O,564.9071429
[*]OCCCCOC(C1=CC=C(C([*])=O)C=C1)=O,496.7439572
[*]NCCCCCC([*])=O,442.8825676
[*]CCN[*],391.1267742
[*]NC1=CC=C([*])C=C1,453.5138462
[*]OCCCCOC(CCC([*])=O)=O,386.8413011
[*]C1=CC=C(C(C)(C2=CC=C(OCC(C[*])O)C=C2)C)C=C1,373.0833333
[*]C1=CC=C(S[*])C=C1,554.2961538
[*]CC[*],384.3300429
